"Departamento","Municipio","Cultivo","Topografia","Drenaje","Riego","pH.agua.suelo.2.5.1.0","Materia.organica..MO...","Fosforo..P..Bray.II.mg.kg","Azufre..S..Fosfato.monocalcico.mg.kg","Acidez..Al.H..KCL.cmol....kg","Aluminio..Al..intercambiable.cmol....kg","Calcio..Ca..intercambiable.cmol....kg","Magnesio..Mg..intercambiable.cmol....kg","Potasio..K..intercambiable.cmol....kg","Sodio..Na..intercambiable.cmol....kg","capacidad.de.intercambio.cationico..CICE..suma.de.bases.cmol....kg","Conductividad.el.ctrica..CE..relacion.2.5.1.0.dS.m","Hierro..Fe..disponible.olsen.mg.kg","Cobre..Cu..disponible.mg.kg","Manganeso..Mn..disponible.Olsen.mg.kg","Zinc..Zn..disponible.Olsen.mg.kg","Boro..B..disponible.mg.kg"
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Pendiente","No indica","No indica",5.11,2.65731912271714,19.2778017944535,9.03947368421053,0.218574118050765,0.142316036864165,3.84517517,1.23027988,0.154343124,0.13578411,5.58415640205077,0.2203428,339.119,3.14,5.854,2.765,0.474248927038627
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Ondulado","No indica","No cuenta con riego",4.7,4.34337296521422,99.0544331158238,42.5657894736842,2.07124997581439,1.63663442393789,3.46255702,0.95312295,0.330912108,0.18487308,7.00271513381439,0.3704084,1778.301,6.071,29.423,3.635,0.688841201716738
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Pendiente","No indica","No cuenta con riego",4.76,7.4920267966345,70.1527610114192,17.0657894736842,3.08085423538221,2.21606400259914,3.33355377,0.51503035,0.354319596,0.12468407,7.40844202138221,0.2568024,390.137,2.947,12.448,1.337,0.474248927038627
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Pendiente","No indica","No indica",4.56,6.03871044773364,103.191423327896,17.9868421052632,6.42191575415819,5.49949828167951,2.69995568,0.53023687,0.442210212,0.16965837,10.2639768861582,0.2388368,2444.66,3.656,8.146,3.115,0.638888888888889
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Pendiente","No indica","No cuenta con riego",5.04,5.18533963788082,65.6722145187602,10.6184210526316,2.14410801516465,1.66713071755164,3.62054483,1.14863535,0.62288676,0.12832029,7.66449524516465,0.2266836,2116.653,5.94,13.89,1.838,0.774678111587983
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Plano","No indica","No cuenta con riego",4.8,4.07443186150303,102.447051386623,9.82894736842105,1.28021983429734,0.945385102026237,3.68993211,1.17814324,0.396914472,0.15272124,6.69793089629734,0.5009232,1235.178,5.133,27.202,2.163,0.667381974248927
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Plano","No indica","No indica",5.04,7.75579595604355,74.8337153344209,8.11842105263158,3.02881277870346,2.64301211319163,2.96059714,0.78639432,0.518284548,0.14018585,7.43427463670346,0.2657852,966.24,3.445,11.439,1.298,0.259656652360515
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Pendiente","No indica","No cuenta con riego",4.86,16.1736007827608,28.6253955954323,18.7763157894737,3.78861804621326,3.14111824221621,4.39423496,1.04237074,0.533758248,0.17626098,9.93524297421326,0.5003948,919.317,2.816,9.678,2.766,0.130901287553648
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Plano","No indica","No indica",5.23,6.95931653351426,84.8111623164763,9.03947368421053,1.50920224368385,1.32150605659582,4.86424595,1.25363275,0.582317532,0.12238751,8.33178598568385,0.2737112,1252.419,3.933,7.166,2.562,0.431330472103004
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Plano","No indica","No indica",4.98,6.26627599702772,46.9054526916803,5.61842105263158,1.93594218844963,1.52481468068748,3.63448816,1.00344929,0.125815248,0.28104153,6.98073641644963,0.2150588,1286.229,3.997,8.281,2.591,0.17381974248927
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Plano","No indica","No indica",5.48,5.06638491893164,49.7254771615008,12.0657894736842,0.156124370036261,0.0609925872274992,4.33044697,0.83310006,0.450650412,0.14860657,5.91892838203626,0.2599728,620.048,3.501,4.372,1.048,0.53862660944206
"CUNDINAMARCA","CHOCONTÁ","Papa de año","Plano","No indica","No indica",4.43,2.53577843161689,47.8788621533442,49.8026315789474,1.55083540902686,1.15885915732248,2.17318326,0.51195284,0.172348884,0.15243417,4.56075456302686,0.3624824,545.49,3.609,8.768,1.922,0.581545064377682
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",5.12,4.14942505388403,19.6070432300163,4.30263157894737,1.81104269242062,1.25034803816373,3.24901547,1.37057813,0.427974408,0.15769712,7.01630782042062,0.200792,1224.741,3.784,15.593,4.366,0.109442060085837
